masked_text,target_word
[Mask] comfort [Mask] quality doubt weather fabricated nike flip kart,good
thought buying new shoe supposedly new shoe guess flipkart claims sell genuine new products condition shoe got pathetic doesnt even look like original nike shoe finishing shoe disgustingit glue sole [Mask] lace make shoe bad foam visiblehighly disappointed dissatisfied ,near
really [Mask] product nike comfortable wear look [Mask] tooive felt give complete support feet makes excellent running purposes one use casual wear well judging price really economical ive always search shoes comfortable cheap look [Mask] product qualities recommend users cant say anything durability right bu,good
comfortable shoe wearwhich made good quality light weight  really [Mask] people specially blue colour,attracts
pleae dont buy neither looks like nike shoes  flipkart dont sell sub standard products people look quality products [Mask] products,cheap
quality upto mark nike brandi think factory outlet product  rejectedso [Mask] anyone buy shoes,suggest
comfortable walk jog perfect grip good worksmanhip material prompt [Mask] haapy endorse,delivery
satisfied product qualityright fit great color [Mask] flipkarts super fast delivery,combinationhappy
great running shoe  nike quality extremely [Mask] quick delivery product,impressed
shoes [Mask] fits perfectly look stylist especially tm nike logo look really cool quality commendablethey great runners using running feels great protects cushions feet perfectly,comfortable
thanks flipkart providing good product faster deliveryi bought show [Mask] picture good fit nice looki wear zym party feel comfortable im treadmill,shown
excellent shoes used years nowthey [Mask] really well super cool running look stylish,fit
[Mask] ,trusted
[Mask],quality
[Mask] product,good
[Mask] product flipkart amazing,good
[Mask],brilliant
[Mask] shoes,nice
[Mask],love
comfortable [Mask] running,shoes
best product ive [Mask] flpkrt,recieved
good shoes [Mask] years using product writing review,almost
[Mask] product,awesome
shoes comfortable good sports activity even daily [Mask] today years still [Mask] playing basketball travelling,use
flipkart really give awesome goods  using shoe since june  always used shoe [Mask] purpose  ran daily approx km shoe ,running
fantastic [Mask],shoes
nice shoes [Mask],try
best [Mask] perfectvery perfect non official purposesgood one,shoesfitting
[Mask] shoes loving comfortable looks great jeans,nice
[Mask] product got [Mask] price completely worth,good
delivery timealthough ordered bigger size usual ones instead almost [Mask] feethad ordered doubt would fit,fits
size perfect shoes good quality wore felt really comfortable provided support entire foot opposed ankle front toe area shoe sole actually raised middle nice feature would recommend [Mask] cutting one star think material front shoe get torn may wrong update review six months see last long,buying
bought shoes got discount productshoe looks good outside inside lining shoes badi exchanged shoes didnt fit feetthe shoes exchanged even worse inside [Mask] shoes came,material
good product good qua[Mask]ty low price satisfied much buying product recommended purchase nike e[Mask]minate [Mask] running walking shoes thank,li
like product  shoes quite comfortable [Mask] decent lookthe blue color looks great quite attractive  product nike company sole firm  like product  flipkart service satisfactory  got product within working daysoverall give shoes ,gives
nice good running look stylish [Mask] ,star
item good comfortable [Mask] item displayed cart prices reasonable worth buying,delivered
let postulate product [Mask]  super comfortable shoes2 awesome grip3 style fitting size availability important factor cause wear uk126 delivery time always thats love flipkartso guys buyem eyes closed,facts
ordered blue grey [Mask] shoe shipped grey [Mask] shoevery disappointing,colour
couldnt deliver product [Mask] book price increased rs really unexpected flipkart,tried
[Mask] experiance,good
hi team  bharath hs  recently purchase nike running [Mask] youfirst surprised hrs [Mask] delivered open packing cover disappointed broken box [Mask] packed think may [Mask] damaged genuine  [Mask] really amazing even box damages damage [Mask] [Mask] good new onenow using [Mask] couple days really goo,shoes
ordered different nike shoe black [Mask] color delivered damaged one problem inner sole thought reordering product available number size ordered different one green color good satisfactory good experience,blue
[Mask] notification,available
please intimate product available size need pair shoes [Mask] month tracking shoe white blue black colour please intimate email id anshu85gmailcom,last
[Mask] returned product months still received refund even repeated reminders expect company like nike details given writing u guys last months one bothered solve issue,helloi
miserable time actually trying receive order nike decided making quick buck important good customer experience please nike stop using evri use proper [Mask] service,delivery
shocking customer service  cannot believe lies fob offs calls hung huge company  totally shocked [Mask] many poor reviews get away treating customers poorly awful deal  lies refunds calls back  ive called weekly weeks  something needs done,read
stop using ups sweden never try deliver parcel home everytime claim wasnt home delivered pickup point instead since introduction home office ive seen lie together [Mask] support nike customer servers sets grade,useless
nike care helping scam told luck even though card canceled [Mask] purchase said purchase made track person supposedly bought something also unable reissue new card think twice giving business,immediately
ordered expensive custom design boot falsely advertise pictures black shoe lace boot delivered [Mask] raised give speech call centers total run around instead fixing replacing use blaming computers quality picture excuse careful order check get understand descriptions rather thinking pictures advertise get,navy
[Mask] illegally operate websitewebsite hiccupsno cancellation remark minutes cancellation window unless try search clear merchandise standardschat phonecalls help,sure
metcon super new peeling front back shoe gets years  expensive nike shoes said [Mask] shoes years old,something
scammers ripped brother earlier bought stuff online nike nike wont stop order everyone else ordered stuff said problem cancelled orders nike however said calls 4hrs [Mask] thats policy refused anything screw nike,stress
return [Mask] lady checked states returned [Mask]  asked want write review said okay said  let scan phone gave phone scanned started review without notification gave phone  unfair uncritical,shoes
trust company kind styles snickers many sports [Mask] brand shoes special retro styles,favorite
effectively nike use call centre process complaints returns given script probably nothing nike purchased pair trainers fell apart first use [Mask] via chat told could return faulty sent prepaid royal mail return label sent waited days checked tracking said delivered [Mask] said sent empty box complete lie weight receipt sent didnt respond [Mask] said theres nothing wont send refund effectively trainers sent refused refund called lier [Mask] bank said something issuing charge back transaction recommend want money back hope helps also pretty easy report trading standard,contacted
received email saying order delivered receive itwhen checking delivery image [Mask] sent shows image package drivers hand street went nikecom get updateinformation package unable find email address rectify issueid grateful someone would respond update whereabouts package asap,dpd
exactly experience many others product ordered arrived lost transit reached proactive approach nike went back tried refund wanted promised [Mask] item would sent received confirmation delivery still item still proactive measures nike reach happy refund absolute minimum company could without literally stealing money months wont buying app deleted bring disrupters,new
[Mask] faulty shoes november told 5th january inspected egift card would issued within days days later customer service keep fobbing  cant make complaint cant email anyone online chat people keep ending chat poor service,returned
placed order waiting receive two days want order find account blockedcommunication support service [Mask] anything say account blocked security reasonswhat security registered customer want make pay order cantthis worst service ever,solve
contacted chat quick change shoes [Mask] happy,directly
would rate company zero could purchased nike tech fleece jacket jd  instead going jd went nike big mistake mine opened dispute october however nike [Mask] spoke jd admitted phone faulty batch sent jd requested send jacket back exchange egiftcard nearly months  refund egiftcard nike customer service fobbing stole jacket us wont even return back us extremely poor customer service worst company considering big would expect better service open disputes nike steal item wont compensate refund idea contact someone complain either frustrating poor,said
using [Mask] long time used buy shops use online services user friendly extremely efficient purchase return options available customer love brand getting higher higher every time use [Mask],nike
happy received order [Mask] ripped open product inside even plastic [Mask] extra protection paper [Mask]s needs changed couriers like evri dont take care packages gets ripped open courier ask door supposed one thing [Mask] fully open change [Mask]s,bag
[Mask] max bought leisure time got hole outsole less months however happy kyrie irving basketball shoes basketball shorts light,air
happy sport shoes walk pretty [Mask] much comfort,well
purchased custom trainers nike website past really happy service provided tried logging told account confusing reregistered spent designing custom trainers however trying add trainers basket purchase days joy whatsoever even tried adding random item basket see issue custom [Mask] still successful messaged nike yet response unfortunately decided purchase different brand,items
ordered custom set nikes honestly took time get im stoked end result ive never seen p[Mask] [Mask] max 97s  go sneaker plug,air
excelent site great customer servicethe site easy navigate returns [Mask],smooth
ordered pair trainers werent suitable returned however issue courier side customer service swift resolve also delivery  quality great two new pairs ordered adding [Mask] lyle live chat today,thanks
bought nike air max nike one month ago wear [Mask] wear day long theyre comfortable5 star  recommend,work
row highpoint shopping centre nike store would like acknowledge fantastic customer service received friendly makes customers feel welcome seems great attitude towards helping customers [Mask] job well,overall
wanted say highly rate nikes customer service purchased pair running shoes children shoes turned quickly needed return one pairs pleasantly surprised know nike accept online exchanges lot places dont dealt really quickly easily online chat service awaiting new pair think customer service best ive com[Mask]ed sub [Mask] lots companies purchase online,par
like shoes came time great experience [Mask] would buy,service
tried [Mask] union cortez collaboration snkrs app could [Mask] call nikes customer support gentleman named jon helped figure problem [Mask] shoes cant wait get hand thank jon helped much,order
[Mask] know loads crying tbh easy order get order way expected ordered pound shoes box perfect shoes perfectquick easy,dont
got worst website everno matter many devices browsers cards try cannot check called say keep [Mask] get app try home try workwell think two hours spent [Mask] buy trainers enough  cant bothered actually fixing problem adidas come,trying
customised airforce trainers easy told would take around weeks seemed reasonable  informed time could track delivery mine arrived two weeks  vietnam fantastic  thanks concerned happy  customer  already planning another pair thanks [Mask],brendan
great customer experience nike member  recently purchased golf shoes weeks one cleats tear even though worn [Mask] box away issue full refund  purchased spineless golf shoes summer  membership also gave free returns  first class service far many purchases,thrown
[Mask] experience nikecom ie identical product pictures selected size transported quickly concretely identifying location package  nikecom congratulations,good
shopping [Mask] nike gunwhalf  portsmouth great service helped polite young man called lee,today
passive nike customer years [Mask] complaint recently resolved within minutes onlinehave always pleased quality products know customer service top notch ill continue buy,first
