feedback,preprocessed_text,sentiment_score,label
Good comfort.. Good Quality... but i doubt Weather its fabricated by Nike or by Flip kart.....................................................................,good comfort good quality doubt weather fabricated nike flip kart,0.7003,negative
So I thought of buying this new shoe (supposedly new shoe) and I guess flipkart claims too that they sell 100% genuine and new products but the condition of the shoe which I have got is pathetic !!It doesn't even look like an original NIKE Shoe and the finishing of the shoe is disgusting!!It has glue all over the sole and near the lace the make of the shoe is so so bad that the foam is visible.Highly disappointed and dissatisfied !!,thought buying new shoe supposedly new shoe guess flipkart claims sell genuine new products condition shoe got pathetic doesnt even look like original nike shoe finishing shoe disgustingit glue sole near lace make shoe bad foam visiblehighly disappointed dissatisfied,-0.9137,negative
"This is a really good product by Nike. Very comfortable to wear and they look good too...I've felt that they give complete support to your feet which makes them excellent for running purposes, but one can use them for casual wear as well. Judging by the price, the are really economical. I've always been in search of shoes that are comfortable, cheap and look good. this product has all these qualities and I recommend it for other users. i can't say anything about the durability right now bu...",really good product nike comfortable wear look good tooive felt give complete support feet makes excellent running purposes one use casual wear well judging price really economical ive always search shoes comfortable cheap look good product qualities recommend users cant say anything durability right bu,0.9798,positive
"This is a very comfortable shoe to wear,which is made up of good quality and it is very light weight & its really attracts people specially for the blue in colour",comfortable shoe wearwhich made good quality light weight really attracts people specially blue colour,0.8479,positive
"Pleae dont buy, neither looks like a Nike shoes . Flipkart dont sell these sub standard products. People look for quality products not just cheap products.",pleae dont buy neither looks like nike shoes flipkart dont sell sub standard products people look quality products cheap products,-0.2755,negative
Quality not upto the mark for Nike Brand...I think it's a Factory Outlet product ( rejected)...So I will not suggest anyone to buy these shoes,quality upto mark nike brandi think factory outlet product rejectedso suggest anyone buy shoes,0.0,neutral
"Very Comfortable to walk or jog in. Perfect Grip. Good Worksmanhip and material. Prompt Delivery. Haapy to endorse,",comfortable walk jog perfect grip good worksmanhip material prompt delivery haapy endorse,0.9042,positive
"Satisfied with the product quality.Right fit, Great color combination.Happy with Flipkart's Super Fast delivery.",satisfied product qualityright fit great color combinationhappy flipkarts super fast delivery,0.9231,positive
Great Running Shoe - Nike quality !I was extremely impressed with the quick delivery of this product.,great running shoe nike quality extremely impressed quick delivery product,0.8173,positive
"These shoes are very comfortable, fits perfectly and they look stylist, especially the TM NIKE logo look really cool. The quality is commendable.They very great for runners, I been using them for running, its feels great and it protects and cushions the feet perfectly.",shoes comfortable fits perfectly look stylist especially tm nike logo look really cool quality commendablethey great runners using running feels great protects cushions feet perfectly,0.9771,positive
Thanks to flipkart once again for providing good product at faster delivery.I bought this show and it is same as shown in the picture. Good fit and nice look.I wear this for ZYM and for Party. I feel comfortable when I'm on treadmill.,thanks flipkart providing good product faster deliveryi bought show shown picture good fit nice looki wear zym party feel comfortable im treadmill,0.9584,positive
Excellent shoes ....I have used them for 4 years now...they fit really well and are super cool for running ...and look very stylish,excellent shoes used years nowthey fit really well super cool running look stylish,0.9364,positive
Trusted .,trusted,0.4767,positive
Quality so so,quality,0.0,neutral
Good product..,good product,0.4404,positive
Good product from flipkart. It's amazing.,good product flipkart amazing,0.7717,positive
Brilliant,brilliant,0.5859,positive
Nice shoes,nice shoes,0.4215,positive
Love it,love,0.6369,positive
Very comfortable shoes for running,comfortable shoes running,0.5106,positive
best product i've recieved from flpkrt,best product ive recieved flpkrt,0.6369,positive
"Good shoes, almost after 3 years of using this product I m writing this review",good shoes almost years using product writing review,0.4404,positive
Awesome product,awesome product,0.6249,positive
These shoes are comfortable and are good for any sports activity and even daily use. Today its been more than 3 years and I still use them for playing basketball and for travelling too.,shoes comfortable good sports activity even daily use today years still use playing basketball travelling,0.7906,positive
Flipkart really give me awesome goods . I am using this shoe since june 2014 . I always used this shoe for running purpose.  I ran daily approx 6 km with this shoe .,flipkart really give awesome goods using shoe since june always used shoe running purpose ran daily approx km shoe,0.6573,positive
It was fantastic shoes,fantastic shoes,0.5574,positive
Nice shoes you should try it,nice shoes try,0.4215,positive
Best Shoes....fitting is perfect...very perfect for Non Official purposes...Good One...,best shoesfitting perfectvery perfect non official purposesgood one,0.836,positive
Nice shoes. I am loving it. Comfortable and looks great on any jeans.,nice shoes loving comfortable looks great jeans,0.9337,positive
"Good product, got it at a good price of 1436 completely worth it",good product got good price completely worth,0.7902,positive
"Delivery was before time.Although I ordered a bigger size than my usual ones (10 instead of 9), it almost fits my feet.Had I ordered a 9, I doubt, it would have been that fit.",delivery timealthough ordered bigger size usual ones instead almost fits feethad ordered doubt would fit,0.0,neutral
"The size is perfect and the shoes are good quality. I wore them and they felt really comfortable and provided support to the entire foot as opposed to only the ankle and the front toe area, this is because the shoe sole is actually raised from the middle. This is a nice feature. Would recommend buying it. Cutting one star because I think the material that in front of the shoe can get torn off but again I may be wrong and I will update this review after six months to see if they last that long...",size perfect shoes good quality wore felt really comfortable provided support entire foot opposed ankle front toe area shoe sole actually raised middle nice feature would recommend buying cutting one star think material front shoe get torn may wrong update review six months see last long,0.9162,positive
"i bought this shoes because i got discount on this product.shoe looks very good from outside but inside lining of shoes is very bad.i exchanged the shoes once because it didnt fit my feet,the shoes i exchanged was even worse inside material of that shoes came out",bought shoes got discount productshoe looks good outside inside lining shoes badi exchanged shoes didnt fit feetthe shoes exchanged even worse inside material shoes came,-0.3204,negative
Good product. good quality. low price. i am satisfied very much buying this product. i recommended to purchase this Nike Eliminate li Running and Walking Shoes. Thank you,good product good quality low price satisfied much buying product recommended purchase nike eliminate li running walking shoes thank,0.8689,positive
I like the product . Shoes are quite comfortable and gives decent look.The blue color looks great and quite attractive . Being product of NIKE company the sole is firm . I like the product . The flipkart service was satisfactory . I got the product within 3-5 working days.Overall I will give these shoes 7.5 out of 10 .,like product shoes quite comfortable gives decent lookthe blue color looks great quite attractive product nike company sole firm like product flipkart service satisfactory got product within working daysoverall give shoes,0.9544,positive
very nice .........................good for running ...................in look it is stylish ..........................over all 5 star .............,nice good running look stylish star,0.6908,positive
the item is very good and comfortable too. the delivered item is as it is displayed in the cart. the prices is reasonable. It is worth buying...,item good comfortable delivered item displayed cart prices reasonable worth buying,0.7964,positive
Let me postulate the product facts - 1) Super Comfortable shoes.2) Awesome grip.3) Style 10/10.4) Fitting 10/10.5) Size availability 9/10. (This is an important factor for me 'cause I wear UK12).6) Delivery was before time. (As always. That's why I love Flipkart).So guys.. Buy'em eyes closed..!!,let postulate product facts super comfortable shoes2 awesome grip3 style fitting size availability important factor cause wear uk126 delivery time always thats love flipkartso guys buyem eyes closed,0.9538,positive
I ordered the blue grey colour shoe... And they shipped me the grey colour shoe...very disappointing.,ordered blue grey colour shoe shipped grey colour shoevery disappointing,-0.4215,negative
They couldn't deliver the product. and when i tried to book it again the price was increased by 400 rs. really unexpected from Flipkart,couldnt deliver product tried book price increased rs really unexpected flipkart,0.2732,positive
good experiance...............................................................................................,good experiance,0.4404,positive
"HI Team , Its Bharath HS , recently I purchase Nike running shoes from you.First of all am surprised that with in 18-20 hrs shoes was delivered to me .When I open the packing cover am very disappointed with the broken box where the shoes was packed .I think may be shoes was damaged or not genuine ..., but the shoes was really amazing .even the box has some damages there is no damage at all to shoes. The shoes was as good as new one.Now am using the shoes for couple of days ,its really goo...",hi team bharath hs recently purchase nike running shoes youfirst surprised hrs shoes delivered open packing cover disappointed broken box shoes packed think may shoes damaged genuine shoes really amazing even box damages damage shoes shoes good new onenow using shoes couple days really goo,-0.7436,negative
"I ordered a different Nike shoe with Black and blue color and when it was delivered it was damaged one it had problem with inner sole. So i thought of reordering the product but it was not available for 10 number size so i ordered a different one with green color, it's good but not satisfactory to me, so not a good experience..",ordered different nike shoe black blue color delivered damaged one problem inner sole thought reordering product available number size ordered different one green color good satisfactory good experience,0.4588,positive
when available notification me...............................................................////////////////////////,available notification,0.0,neutral
"Please intimate me once this product is available in Size 10. i need this pair of shoes and from last 1 month i am tracking this shoe in (white, blue and black) colour. please intimate my email id is anshu85@gmail.com",please intimate product available size need pair shoes last month tracking shoe white blue black colour please intimate email id anshu85gmailcom,0.5574,positive
"Hello,I had returned a product and it has been more than 4 Months and I still have not received my refund, even after repeated reminders. Did not expect this from a company like NIKE. Details are given below. I have been writing to u guys for the last 4 months, but no one is bothered to solve this issue.",helloi returned product months still received refund even repeated reminders expect company like nike details given writing u guys last months one bothered solve issue,0.25,negative
"Miserable time actually trying to receive my order. Nike have decided making a quick buck is more important to them than good customer experience. Please Nike, stop using Evri and use a proper delivery service.",miserable time actually trying receive order nike decided making quick buck important good customer experience please nike stop using evri use proper delivery service,0.1531,positive
"Shocking customer service - I cannot believe the lies, fob offs, calls hung up from this huge company ! Totally shocked to read so many poor reviews. How can they get away with treating customers so poorly. Awful to deal with - lies about refunds, no calls back - I’ve called weekly now for over 12 weeks ! Something needs to be done about this.",shocking customer service believe lies fob offs calls hung huge company totally shocked read many poor reviews get away treating customers poorly awful deal lies refunds calls back ive called weekly weeks something needs done,-0.9286,negative
"Stop using UPS in Sweden. They never try to deliver the parcel to your home. Everytime they claim your wasn’t home so they delivered to the pick-up point instead. Since the introduction of home office, I’ve seen through that lie. That together with useless support from Nike customer servers sets the grade.",stop using ups sweden never try deliver parcel home everytime claim wasnt home delivered pickup point instead since introduction home office ive seen lie together useless support nike customer servers sets grade,-0.3182,negative
"Nike does not care about helping you out of a scam. I was told I was out of luck because even though I had the $500 card canceled immediately after purchase, they said a purchase was made. They did not track down the person who supposedly bought something. They were also unable to reissue me a new card. Think twice before giving them your business.",nike care helping scam told luck even though card canceled immediately purchase said purchase made track person supposedly bought something also unable reissue new card think twice giving business,0.7269,negative
